n,Bubble,Insertion Sort,Merge Sort,Heap Sort,Quick Sort,Counting Sort
1,3.814697265625e-07,1.0728836059570312e-06,3.0994415283203126e-07,7.867813110351562e-07,9.5367431640625e-08,2.360343933105469e-06
201,0.0018733739852905273,0.000565648078918457,0.00023455619812011718,0.00043702125549316406,0.00017795562744140624,4.253387451171875e-05
401,0.008791351318359375,0.0024096488952636717,0.0005385398864746094,0.001020050048828125,0.0004317998886108398,0.00011966228485107421
601,0.02188220024108887,0.005837082862854004,0.0008891344070434571,0.0016521215438842773,0.0007197141647338867,0.0001930713653564453
801,0.04047541618347168,0.01087203025817871,0.0011918306350708007,0.0023405075073242186,0.0010142326354980469,0.0002572059631347656
1001,0.06344242095947265,0.019466471672058106,0.0015041351318359375,0.0030609846115112306,0.0012770891189575195,0.00031092166900634763
1201,0.09257636070251465,0.025171303749084474,0.00188138484954834,0.0037755966186523438,0.0015558958053588866,0.00039110183715820315
1401,0.1312309741973877,0.03574991226196289,0.002348160743713379,0.004636240005493164,0.0018455028533935548,0.00045826435089111326
1601,0.16657121181488038,0.04493439197540283,0.0025804519653320314,0.005310416221618652,0.0021600723266601562,0.0005126953125
1801,0.2124018907546997,0.06020810604095459,0.002911067008972168,0.006136274337768555,0.002443385124206543,0.0005987167358398437
2001,0.26190307140350344,0.07618756294250488,0.003263378143310547,0.007118535041809082,0.0027742385864257812,0.0006394624710083008
2201,0.32159035205841063,0.08819222450256348,0.0036684989929199217,0.007715606689453125,0.0030559301376342773,0.0007097244262695313
2401,0.3822890281677246,0.10198135375976562,0.0040290594100952145,0.008568882942199707,0.0033307552337646486,0.0007732629776000977
2601,0.46174380779266355,0.12440903186798095,0.00440058708190918,0.009445905685424805,0.0037181854248046877,0.0008533477783203125
2801,0.5365861177444458,0.13987319469451903,0.004789113998413086,0.010235905647277832,0.003935909271240235,0.0009177207946777343
