n,Bubble,Insertion Sort,Merge Sort,Heap Sort,Quick Sort,Counting Sort
1,1.1920928955078125e-06,1.1920928955078125e-06,0.0,1.9073486328125e-06,9.5367431640625e-07,3.814697265625e-06
201,0.0020661354064941406,0.0010898113250732422,0.00020194053649902344,0.00037407875061035156,0.00017309188842773438,4.506111145019531e-05
401,0.009464025497436523,0.00450897216796875,0.0004322528839111328,0.000885009765625,0.0004169940948486328,0.0001010894775390625
601,0.02344989776611328,0.010789871215820312,0.0006778240203857422,0.0014500617980957031,0.0006320476531982422,0.00016307830810546875
801,0.04353189468383789,0.019878864288330078,0.0009341239929199219,0.0020627975463867188,0.0008981227874755859,0.000225067138671875
1001,0.07019329071044922,0.03203868865966797,0.0011699199676513672,0.002711057662963867,0.0011310577392578125,0.00028705596923828125
1201,0.1030120849609375,0.04710197448730469,0.0014781951904296875,0.003358125686645508,0.0014529228210449219,0.00034809112548828125
1401,0.14179491996765137,0.06486821174621582,0.0017421245574951172,0.004059791564941406,0.0019829273223876953,0.00041294097900390625
1601,0.18799304962158203,0.0853891372680664,0.002042055130004883,0.004771709442138672,0.0019190311431884766,0.000492095947265625
1801,0.24149703979492188,0.10911893844604492,0.0022957324981689453,0.005527019500732422,0.0021522045135498047,0.0005469322204589844
2001,0.3042151927947998,0.13733386993408203,0.0026671886444091797,0.0065648555755615234,0.002584218978881836,0.0006461143493652344
2201,0.36605000495910645,0.16640090942382812,0.0029349327087402344,0.006991147994995117,0.002808094024658203,0.0006678104400634766
2401,0.439821720123291,0.19821500778198242,0.003222942352294922,0.007719993591308594,0.003137826919555664,0.0007350444793701172
2601,0.5176839828491211,0.235306978225708,0.0035169124603271484,0.00853872299194336,0.003512144088745117,0.00080108642578125
2801,0.6027059555053711,0.27319812774658203,0.003815174102783203,0.009321928024291992,0.0038690567016601562,0.0008552074432373047
