n,Bubble,Insertion Sort,Merge Sort,Heap Sort,Quick Sort,Counting Sort
1,1.1920928955078125e-06,9.5367431640625e-07,0.0,9.5367431640625e-07,0.0,4.0531158447265625e-06
201,0.0012350082397460938,1.4066696166992188e-05,0.00019502639770507812,0.0004467964172363281,0.00017189979553222656,4.506111145019531e-05
401,0.0060651302337646484,3.0994415283203125e-05,0.00041484832763671875,0.0010533332824707031,0.0003838539123535156,0.00010323524475097656
601,0.015086174011230469,4.8160552978515625e-05,0.0006628036499023438,0.001703023910522461,0.0006551742553710938,0.000164031982421875
801,0.02807903289794922,6.914138793945312e-05,0.0009160041809082031,0.0024101734161376953,0.0008361339569091797,0.0002281665802001953
1001,0.04480934143066406,8.487701416015625e-05,0.0011620521545410156,0.0031087398529052734,0.0011382102966308594,0.0002892017364501953
1201,0.06577801704406738,0.00010323524475097656,0.0014379024505615234,0.0039031505584716797,0.0013458728790283203,0.00034499168395996094
1401,0.09102678298950195,0.0001232624053955078,0.0017001628875732422,0.004781007766723633,0.0017478466033935547,0.00041174888610839844
1601,0.12064480781555176,0.00014019012451171875,0.001984119415283203,0.005502939224243164,0.0018868446350097656,0.00048422813415527344
1801,0.15414094924926758,0.0001590251922607422,0.002251863479614258,0.0062868595123291016,0.002288818359375,0.0005390644073486328
2001,0.19223976135253906,0.00018310546875,0.002588033676147461,0.0070841312408447266,0.0023889541625976562,0.0006079673767089844
2201,0.23632287979125977,0.00019788742065429688,0.002866983413696289,0.0079193115234375,0.0029098987579345703,0.0006659030914306641
2401,0.2846992015838623,0.0002391338348388672,0.0031690597534179688,0.008972883224487305,0.0032148361206054688,0.0007369518280029297
2601,0.3321259021759033,0.00023603439331054688,0.0034410953521728516,0.009740114212036133,0.0034918785095214844,0.0007910728454589844
2801,0.3870887756347656,0.0002589225769042969,0.0037147998809814453,0.010673999786376953,0.003844022750854492,0.0008559226989746094
